ID,pred
25318,0.08220017524081041
25319,0.01929128580707875
25320,0.016464356326319284
25321,0.6660425249162275
25322,0.04423811246321399
25323,0.01380075168234776
25324,0.011417376775813932
25325,0.012218407556550882
25326,0.03860235298012497
25327,0.4009067610540438
25328,0.6259573108084865
25329,0.029342539873503912
25330,0.011241682406745702
25331,0.019449901669307174
25332,0.019450151370566035
25333,0.19002536580024842
25334,0.1156505956344696
25335,0.014387293366742175
25336,0.01779462469330196
25337,0.3608440036446938
25338,0.07693717711591559
25339,0.04266973663274607
25340,0.01133096719676253
25341,0.0358496497516032
25342,0.3119405009681405
25343,0.021789048295972696
25344,0.02119047784887489
25345,0.10053199360051603
25346,0.03120948868460029
25347,0.021611900457696148
25348,0.020603153019071833
25349,0.013131388887885759
25350,0.01883532730414064
25351,0.013349478366535961
25352,0.03734637798648683
25353,0.01789363950748477
25354,0.02873950658804887
25355,0.3852259080993889
25356,0.42593378484592054
25357,0.04149012783207519
25358,0.11167256612142581
25359,0.018350782728500194
25360,0.0157516407314334
25361,0.04993377804761671
25362,0.07233803851884105
25363,0.5396191370661253
25364,0.011656018125254864
25365,0.0836290708244905
25366,0.011989641358841735
25367,0.027434260120000015
25368,0.44460723660156704
25369,0.06370114492004988
25370,0.01334933597274607
25371,0.10672713345393149
25372,0.050624326295333505
25373,0.14552650473902431
25374,0.08377335538268313
25375,0.012655833482908102
25376,0.0742022790213257
25377,0.011878311110224977
25378,0.05536691657075927
25379,0.06086608473554389
25380,0.12391588956522243
25381,0.015351144700454435
25382,0.012591928987630112
25383,0.12482333599641539
25384,0.024796231798485672
25385,0.06924189710498117
25386,0.01670584604676846
25387,0.12598014679425784
25388,0.023722225859405845
25389,0.3131001772256925
25390,0.016342378514160174
25391,0.01866527554370608
25392,0.5652565562746521
25393,0.05272493726986276
25394,0.3336646498104031
25395,0.12580699296724682
25396,0.011783748584347005
25397,0.028154924092939123
25398,0.6521364541382393
25399,0.14287566497990134
25400,0.0864366595968538
25401,0.016304946633283038
25402,0.44516023581480735
25403,0.045118944234993255
25404,0.01600553224315006
25405,0.5682397526233188
25406,0.016316234087580532
25407,0.05996653323692558
25408,0.4111840711777565
25409,0.028439794116812335
25410,0.07298617179542656
25411,0.0323714278729803
25412,0.30173968233275855
